0,Mon Sep 14 23:09:06 EDT 2020,true,view/SocialDistancingView.java,nameInDictionary,view.SocialDistancingView,distancing
0,Mon Sep 14 23:09:06 EDT 2020,true,view/SocialDistancingView.java,nameInDictionary,evt,evt
0,Mon Sep 14 23:09:06 EDT 2020,true,data/SafeCombinations.java,nameInDictionary,data.SafeCombinations,data
0,Mon Sep 14 23:09:06 EDT 2020,true,data/SafeCombinations.java,nameInDictionary,data.SafeCombinations,safe
0,Mon Sep 14 23:09:06 EDT 2020,true,data/SafeCombinations.java,nameInDictionary,data.SafeCombinations,combinations
0,Mon Sep 14 23:09:06 EDT 2020,true,data/SafeCombinations.java,nameInDictionary,combinations,combinations
0,Mon Sep 14 23:09:06 EDT 2020,true,data/SafeCombinations.java,functionAssignsGlobal,getSafeCombinations
0,Mon Sep 14 23:09:06 EDT 2020,true,data/SafeCombinations.java,methodAccessModifierMatched,getSafeCombinations:->List,public,[model.InterpolatingModel, util.SocialDistancingUtil],[public, public]
0,Mon Sep 14 23:09:06 EDT 2020,true,controller/SocialDistancingController.java,nameInDictionary,controller.SocialDistancingController,controller
0,Mon Sep 14 23:09:06 EDT 2020,true,controller/SocialDistancingController.java,nameInDictionary,controller.SocialDistancingController,social
0,Mon Sep 14 23:09:06 EDT 2020,true,controller/SocialDistancingController.java,nameInDictionary,controller.SocialDistancingController,distancing
0,Mon Sep 14 23:09:06 EDT 2020,true,factories/ModelFactory.java,tags,@SocialDistanceModelFactory
0,Mon Sep 14 23:09:06 EDT 2020,true,factories/ModelFactory.java,nameInDictionary,factories.ModelFactory,factories
0,Mon Sep 14 23:09:06 EDT 2020,true,factories/ModelFactory.java,nameInDictionary,factories.ModelFactory,model
0,Mon Sep 14 23:09:06 EDT 2020,true,factories/ModelFactory.java,nameInDictionary,factories.ModelFactory,factory
0,Mon Sep 14 23:09:06 EDT 2020,true,factories/ModelFactory.java,nameInDictionary,singleton,singleton
0,Mon Sep 14 23:09:06 EDT 2020,true,factories/ModelFactory.java,nameInDictionary,model,model
0,Mon Sep 14 23:09:06 EDT 2020,true,factories/ModelFactory.java,duplicateShortTypeName,[ModelFactory, factories.ModelFactory]
0,Mon Sep 14 23:09:06 EDT 2020,true,factories/ModelFactory.java,variableHasInterfaceType,SocialDistancingModel,singleton
0,Mon Sep 14 23:09:06 EDT 2020,true,factories/ModelFactory.java,variableHasInterfaceType,SocialDistancingModel,getSocialDistancingModel
0,Mon Sep 14 23:09:06 EDT 2020,true,factories/ModelFactory.java,variableHasInterfaceType,SocialDistancingModel,model
0,Mon Sep 14 23:09:06 EDT 2020,true,factories/ModelFactory.java,functionAssignsGlobal,getSocialDistancingModel
0,Mon Sep 14 23:09:06 EDT 2020,true,factories/ModelFactory.java,methodAccessModifierMatched,getSocialDistancingModel:->SocialDistancingModel,public,[util.MVCUtil, controller.ConsoleSocialDistancingController],[public, public]
